calID,spnumber,taxstat,family,species,star,horim_page,horim_end,star_geo,star_geod,star_geou,star_infa,star_infs,quartergrid,1grid,horimgrid,mgr_ocan,mgr_mainisl,mgr_smallisl,mgr_totalland,mgr_totalarea,qgr_mainisl,qgr_smallisl,qgr_totalland,1gr_mainisl,1gr_smallisl,1gr_totalland,infra
78,78,acc,Pinaceae,Picea alcoquiana (Veitch ex Lindl.) Carri{e`}re var. reflexa Shiras. et Koyama,BK,11,endemic,BK,BK,BK,GD,BK,3,2,9,0,3779.568414,0,3779.568414,3779.568414,7555.422601,0,7555.422601,19743.04622,0.179233026,19743.22545,infra
79,79,acc,Pinaceae,Picea jezoensis Carri{e`}re var. hondoensis Mayr,GD!,14,endemic,GD,GD,GD,BU,BU,23,10,78,11.41192052,32478.52522,0.04265336,32478.56787,32489.97979,55462.4774,2.226531925,55464.70393,85874.84065,133.5110268,86008.35168,infra
84,84,acc,Cupressaceae,Sabina chinensis (L.) Antoine var. procumbens Miq.,BK!,506,,BK,BK,BK,GD,GD,4,3,5,1738.252278,0,393.1760429,393.1760429,2131.428321,43.19017553,860.860764,904.0509395,1451.211799,1265.672333,2716.884132,infra
126,126,acc,Asteraceae,Parasenecio hastata (L.) H. Koyama subsp. orientalis Kitam.,GN,805,,GN,GN,GN,GN,GN,101,41,279,20046.02611,85966.8566,686.4540065,86653.3106,106699.3367,163387.3099,891.4305931,164278.7405,224002.338,1032.802189,225035.1402,infra
151,151,acc,Asteraceae,Aster glehni F. Schmidt var. hondoensis,BU/,379,,BU,GN,GD,GN,BU,75,32,221,6344.263102,83255.71868,772.3898681,84028.10854,90372.37165,149302.8342,859.2008035,150162.035,196308.6241,1692.174245,198000.7983,infra
165,165,acc,Asteraceae,Artemisia japonica Thunb. subsp. japonica,GN,798,,GN,GN,GN,GN,GN,232,97,574,77152.60518,155008.1773,6053.604236,161061.7816,238214.3867,308816.3208,10271.43967,319087.7605,359364.0165,11591.10855,370955.1251,infra
167,167,acc,Asteraceae,Artemisia japonica Thunb. subsp. littoricola Kitam.,GN,799,,GN,GN,GN,GN,GN,21,14,24,5935.50161,3121.699913,42.19143343,3163.891346,9099.392957,13580.37903,297.7687989,13878.14783,32877.63838,404.6382892,33282.27667,infra
168,168,acc,Asteraceae,Artemisia arctica Less. subsp. sachalinensis F. Schmidt,GN,794,,GN,GN,GN,GN,GN,18,12,27,1624.022877,8316.12852,178.9406526,8495.069172,10119.09205,30067.36612,293.7551468,30361.12126,69059.20319,400.4270469,69459.63023,infra
176,176,acc,Asteraceae,Dendranthema japonicum (Makino) Kitam. var. wakasaense Shimot. ex Kitam.,BK,811,endemic,BK,BK,BK,GD,GD,7,4,15,2854.449875,3419.209705,2.26083716,3421.470543,6275.920418,8439.665862,2.500098763,8442.16596,27546.35737,11.82063231,27558.178,infra
177,177,acc,Asteraceae,Dendranthema arcticum (L.) Tzvelev subsp. maekawanum Kitam.,BU,814,endemic,BU,BU,BU,GN,BU,24,14,46,9976.616314,7916.819588,256.6824376,8173.502026,18150.11834,22302.79918,527.6623005,22830.46148,60140.11066,529.1712367,60669.2819,infra
178,178,acc,Asteraceae,Dendranthema zawadskii (Herbich) Tzvelev var. latilobum Maxim.,GN,385,,GN,GN,GN,GN,GN,7,5,9,2393.754936,1041.020553,335.6644214,1376.684975,3770.43991,5724.875987,839.4166752,6564.292662,21674.35571,1268.413818,22942.76953,infra
194,194,acc,Asteraceae,Leontopodium hayachinense (Takeda) Hara et Kitam. var. miyabeanum,BK,831,endemic,BK,BK,BK,GD,BK,1,1,1,0,379.8670395,0,379.8670395,379.8670395,1361.92564,0.142074307,1362.067714,5635.002266,0.241837064,5635.244103,infra
195,195,acc,Asteraceae,Leontopodium fauriei (Beauverd) Hand.-Mazz. var. angustifolium,BK,829,endemic,BK,BK,BK,GD,BK,2,2,3,0,1236.719921,0,1236.719921,1236.719921,4953.930279,0,4953.930279,19878.79416,0,19878.79416,infra
202,202,acc,Asteraceae,Eupatorium makinoi Kawahara et Yahara var. oppositifolium Koidz.,GN,391,,GN,GN,GN,GN,GN,214,79,638,55440.03529,205439.2151,4272.229817,209711.4449,265151.4802,330073.5529,7170.253836,337243.8068,357378.4848,8007.158604,365385.6434,infra
265,265,acc,Asteraceae,Ainsliaea macroclinidioides Hayata var. okinawensis Hayata,BK,376,endemic,BK,BK,BK,GD,BK,16,11,28,10384.96872,0,2420.582099,2420.582099,12805.55082,0,3131.084447,3131.084447,0,3309.254194,3309.254194,infra
273,273,acc,Diapensiaceae,Diapensia lapponica L. var. obovata,GN,260,,GN,GN,GN,GN,GN,44,26,74,1744.966466,27145.92478,158.1311265,27304.05591,29049.02237,89370.5199,294.1247447,89664.64464,182623.9093,412.626933,183036.5363,infra
