scode,sampname,datafile,int_1,lat,ns,long,ew,e_long,w_long,s_lat,n_lat,country,majorarea,minorarea,gazetteer,gazcode,rectotal,spcount,GHI,BK,GD,BU,GN,horim_end,sum_we,cwe,ocean,mainisl,smallisl,totalland,totalarea
1,horim001,horim_data1s,1,45.583333,n,141.875,e,142,141.75,45.5,45.66666666,,,,,0,26,26,11,0,0,1,25,0,0.226131,0.008697346,352.5165714,8.8010241,0.01130491,8.81232902,361.3289004
2,horim002,horim_data1s,2,45.416667,n,140.875,e,141,140.75,45.33333334,45.5,,,,,0,16,16,0,0,0,0,15,0,0.195321,0.012207563,354.8636299,0,7.52230891,7.52230891,362.3859388
3,horim003,horim_data1s,3,45.416667,n,141.125,e,141.25,141,45.33333334,45.5,,,,,0,78,78,45,1,0,2,70,2,1.014878,0.013011256,306.1448228,0,56.24111604,56.24111604,362.3859388
4,horim004,horim_data1s,4,45.416667,n,141.625,e,141.75,141.5,45.33333334,45.5,,,,,0,66,66,18,0,1,1,63,2,0.226508,0.003431939,293.2130921,69.17284666,0,69.17284666,362.3859388
5,horim005,horim_data1s,5,45.416667,n,141.875,e,142,141.75,45.33333334,45.5,,,,,0,46,46,27,0,1,1,42,0,0.240974,0.005238565,104.3106402,258.0730334,0.00226525,258.0752986,362.3859388
6,horim006,horim_data1s,6,45.416667,n,142.125,e,142.25,142,45.33333334,45.5,,,,,0,11,11,0,0,0,0,10,0,0.037292,0.003390182,278.2074887,84.17391559,0.00453449,84.17845008,362.3859388
7,horim007,horim_data1s,7,45.25,n,141.125,e,141.25,141,45.16666667,45.33333333,,,,,0,98,98,46,1,1,2,87,4,2.117076,0.021602816,275.9854643,0,87.45436275,87.45436275,363.4398271
8,horim008,horim_data1s,8,45.25,n,141.375,e,141.5,141.25,45.16666667,45.33333333,,,,,0,55,55,29,0,1,2,48,3,1.297157,0.023584673,328.0202475,0,35.41957957,35.41957957,363.4398271
9,horim009,horim_data1s,9,45.25,n,141.625,e,141.75,141.5,45.16666667,45.33333333,,,,,0,43,43,29,0,1,1,39,1,0.122356,0.002845488,144.1225698,219.3104498,0.00680755,219.3172573,363.4398271
10,horim010,horim_data1s,10,45.25,n,141.875,e,142,141.75,45.16666667,45.33333333,,,,,0,31,31,30,0,1,0,29,0,0.088804,0.002864645,0,363.4398271,0,363.4398271,363.4398271
11,horim011,horim_data1s,11,45.25,n,142.125,e,142.25,142,45.16666667,45.33333333,,,,,0,35,35,35,0,1,1,32,1,0.094707,0.002705914,23.28162557,340.1582015,0,340.1582015,363.4398271
12,horim012,horim_data1s,12,45.25,n,142.375,e,142.5,142.25,45.16666667,45.33333333,,,,,0,19,19,16,0,0,1,17,0,0.04142,0.00218,321.1330971,42.30673001,0,42.30673001,363.4398271
13,horim013,horim_data1s,13,45.083333,n,141.125,e,141.25,141,45,45.16666666,,,,,0,57,57,5,0,0,1,54,1,0.266258,0.004671193,322.967929,0,41.52262805,41.52262805,364.4905571
14,horim014,horim_data1s,14,45.083333,n,141.375,e,141.5,141.25,45,45.16666666,,,,,0,69,69,18,0,1,1,63,1,0.351167,0.005089377,329.2901734,0,35.20038363,35.20038363,364.4905571
15,horim015,horim_data1s,15,45.083333,n,141.625,e,141.75,141.5,45,45.16666666,,,,,0,70,70,30,0,1,4,64,5,0.305892,0.004369886,195.2775909,169.2129662,0,169.2129662,364.4905571
16,horim016,horim_data1s,16,45.083333,n,141.875,e,142,141.75,45,45.16666666,,,,,0,61,61,20,0,1,1,58,2,0.170718,0.002798656,0,364.4905571,0,364.4905571,364.4905571
17,horim017,horim_data1s,17,45.083333,n,142.125,e,142.25,142,45,45.16666666,,,,,0,46,46,33,0,1,2,42,5,0.203339,0.004420413,0,364.4905571,0,364.4905571,364.4905571
18,horim018,horim_data1s,18,45.083333,n,142.375,e,142.5,142.25,45,45.16666666,,,,,0,45,45,27,0,1,1,42,1,0.238084,0.005290756,75.70387169,288.7866854,0,288.7866854,364.4905571
19,horim019,horim_data1s,19,45.083333,n,142.625,e,142.75,142.5,45,45.16666666,,,,,0,46,46,6,0,0,1,45,1,0.14006,0.003044783,352.3464555,12.11446275,0.02963887,12.14410162,364.4905571
20,horim020,horim_data1s,20,44.916667,n,141.625,e,141.75,141.5,44.83333334,45,,,,,0,64,64,23,0,1,2,60,3,0.274153,0.004283641,327.2316767,38.30644395,0,38.30644395,365.5381207
21,horim021,horim_data1s,21,44.916667,n,141.875,e,142,141.75,44.83333334,45,,,,,0,71,71,21,0,1,2,67,4,0.225072,0.003170028,0.90587759,364.6322431,0,364.6322431,365.5381207
22,horim022,horim_data1s,22,44.916667,n,142.125,e,142.25,142,44.83333334,45,,,,,0,58,58,27,0,1,2,52,4,0.24703,0.004259138,0,365.5381207,0,365.5381207,365.5381207
23,horim023,horim_data1s,23,44.916667,n,142.375,e,142.5,142.25,44.83333334,45,,,,,0,102,102,30,0,2,4,92,8,1.612285,0.015806716,0,365.5381207,0,365.5381207,365.5381207
24,horim024,horim_data1s,24,44.916667,n,142.625,e,142.75,142.5,44.83333334,45,,,,,0,64,64,19,0,1,1,60,2,0.270895,0.004232734,212.995881,152.4851328,0.0571068,152.5422396,365.5381207
25,horim025,horim_data1s,25,44.75,n,141.875,e,142,141.75,44.66666667,44.83333333,,,,,0,88,88,17,0,1,2,82,4,0.301741,0.003428875,43.51694114,323.0655685,0,323.0655685,366.5825097
26,horim026,horim_data1s,26,44.75,n,142.125,e,142.25,142,44.66666667,44.83333333,,,,,0,84,84,25,0,1,4,76,7,0.339897,0.004046393,0,366.5825097,0,366.5825097,366.5825097
27,horim027,horim_data1s,27,44.75,n,142.375,e,142.5,142.25,44.66666667,44.83333333,,,,,0,70,70,17,0,1,1,66,2,0.240481,0.003435443,0,366.5825097,0,366.5825097,366.5825097
28,horim028,horim_data1s,28,44.75,n,142.625,e,142.75,142.5,44.66666667,44.83333333,,,,,0,14,14,0,0,0,0,13,0,0.049476,0.003534,26.7260318,339.8564779,0,339.8564779,366.5825097
29,horim029,horim_data1s,29,44.75,n,142.875,e,143,142.75,44.66666667,44.83333333,,,,,0,25,25,0,0,0,0,24,0,0.082458,0.00329832,321.9688507,44.59989999,0.01375893,44.61365892,366.5825097
30,horim030,horim_data1s,30,44.583333,n,141.875,e,142,141.75,44.5,44.66666666,,,,,0,53,53,12,0,0,2,48,3,0.138036,0.002604453,50.1171372,317.5065788,0,317.5065788,367.623716
31,horim031,horim_data1s,31,44.583333,n,142.125,e,142.25,142,44.5,44.66666666,,,,,0,8,8,112,0,1,0,7,0,0.029092,0.0036365,0,367.623716,0,367.623716,367.623716
32,horim032,horim_data1s,32,44.583333,n,142.375,e,142.5,142.25,44.5,44.66666666,,,,,0,32,32,38,0,1,1,29,0,0.108859,0.003401844,0,367.623716,0,367.623716,367.623716
33,horim033,horim_data1s,33,44.583333,n,142.625,e,142.75,142.5,44.5,44.66666666,,,,,0,4,4,0,0,0,0,4,0,0.01502,0.003755,0,367.623716,0,367.623716,367.623716
34,horim034,horim_data1s,34,44.583333,n,142.875,e,143,142.75,44.5,44.66666666,,,,,0,27,27,33,0,1,0,26,0,0.078019,0.002889593,61.29468784,306.3290281,0,306.3290281,367.623716
35,horim035,horim_data1s,35,44.583333,n,143.125,e,143.25,143,44.5,44.66666666,,,,,0,23,23,0,0,0,0,23,0,0.097899,0.004256478,343.5776709,24.04604513,0,24.04604513,367.623716
