pref,avg_spcount,avg_GHI,max_GHI,min_GHI,plottotal
Aichi,155.8461538,36.41025641,88,15,78
Akita,87.44,45.16,156,0,100
Aomori,86.57142857,25.14285714,61,0,105
Chiba,109,16.65517241,41,0,58
Ehime,168.4,31,105,5,170
Fukui,126.3055556,57.80555556,207,0,72
Fukuoka,160.7473684,27.48421053,43,0,95
Fukushima,129.0491803,52.44262295,133,0,122
Gifu,173.2325581,66.41860465,130,32,86
Gunma,149.5517241,60.72413793,121,10,58
Hiroshima,186.4444444,35.07777778,82,10,180
Hokkaido,52.25352113,32.25665102,900,0,639
Hyogo,128.4576271,31.45762712,75,0,118
Ibaraki,122,23.78378378,48,0,74
Ishikawa,105.5135135,21.51351351,98,0,74
Iwate,102.5076923,37.72307692,93,0,130
Izu,81.2972973,71.62162162,450,0,37
Kagawa,152.6451613,18.90322581,52,0,93
Kagoshima,154.8483146,94.46629213,675,0,178
Kanagawa,155.7666667,34.8,93,0,60
Kazan,14.33333333,412.3333333,787,180,6
Kochi,181.9259259,49.68518519,121,0,108
Kumamoto,164.205298,45.54966887,300,17,151
Kyoto,131.5277778,48,200,12,72
Mie,173.3,39.28,79,10,100
Miyagi,103.6785714,39.44642857,105,0,112
Miyazaki,160.0789474,50.15789474,285,15,76
Nagano,175.25,80.21153846,137,9,104
Nagasaki,134.9906542,36.48598131,250,0,321
Nara,217.4117647,53.94117647,79,24,34
Niigata,99.79084967,37.77777778,104,0,153
Ogasawara,18.21428571,762.9285714,2700,0,28
Oita,169.4444444,31.83333333,71,0,108
Okayama,149.295082,35.13114754,114,8,122
Osaka,120.2916667,30.875,54,6,48
Ryukyu,162.9904153,208.6453674,1350,0,313
Saga,160.5909091,27.77272727,63,0,44
Saitama,107,37.77777778,121,6,36
Shiga,153.0869565,43.7826087,104,23,46
Shimane,159.559322,38.59322034,118,0,118
Shizuoka,172.5686275,56.03921569,300,0,102
Tochigi,175.0967742,47.35483871,84,11,62
Tokushima,185.8125,50.5,121,0,64
Tokyo,91.16666667,20.03333333,87,0,60
Tottori,168.7407407,37.92592593,61,18,54
Toyama,135.125,59.33333333,133,2,48
Wakayama,185.0294118,42.94117647,75,18,68
Yamagata,104.625,55.025,156,7,80
Yamaguchi,165.1136364,24.96590909,62,7,176
Yamanashi,190.6086957,85.30434783,137,36,46
