sampname,CAT,intsct_row,OCEAN_KM,MAINISL_KM,SMALLISL_KM,TOTAL_KM,ID,XMIN,XMAX,YMIN,YMAX,ID_2,XMIN_2,XMAX_2,YMIN_2,YMAX_2
horim001,1,0,352.5165714,8.801024101,0.011304914,361.3289004,531,141.5,142,45.5,46,145,141,142,45,46
horim005,5,1,104.3106402,258.0730334,0.002265251,362.3859388,592,141.5,142,45,45.5,145,141,142,45,46
horim002,2,2,354.8636299,0,7.522308909,362.3859388,590,140.5,141,45,45.5,144,140,141,45,46
horim003,3,3,306.1448228,0,56.24111604,362.3859388,591,141,141.5,45,45.5,145,141,142,45,46
horim007,7,4,275.9854643,0,87.45436275,363.4398271,591,141,141.5,45,45.5,145,141,142,45,46
horim004,4,5,293.2130921,69.17284666,0,362.3859388,592,141.5,142,45,45.5,145,141,142,45,46
horim008,8,6,328.0202475,0,35.41957957,363.4398271,591,141,141.5,45,45.5,145,141,142,45,46
horim009,9,7,144.1225698,219.3104498,0.006807549,363.4398271,592,141.5,142,45,45.5,145,141,142,45,46
horim006,6,8,278.2074887,84.17391559,0.004534491,362.3859388,593,142,142.5,45,45.5,146,142,143,45,46
horim010,10,9,0,363.4398271,0,363.4398271,592,141.5,142,45,45.5,145,141,142,45,46
horim011,11,10,23.28162557,340.1582015,0,363.4398271,593,142,142.5,45,45.5,146,142,143,45,46
horim013,13,11,322.967929,0,41.52262805,364.4905571,591,141,141.5,45,45.5,145,141,142,45,46
horim014,14,12,329.2901734,0,35.20038363,364.4905571,591,141,141.5,45,45.5,145,141,142,45,46
horim015,15,13,195.2775909,169.2129662,0,364.4905571,592,141.5,142,45,45.5,145,141,142,45,46
horim016,16,14,0,364.4905571,0,364.4905571,592,141.5,142,45,45.5,145,141,142,45,46
horim012,12,15,321.1330971,42.30673001,0,363.4398271,593,142,142.5,45,45.5,146,142,143,45,46
horim017,17,16,0,364.4905571,0,364.4905571,593,142,142.5,45,45.5,146,142,143,45,46
horim018,18,17,75.70387169,288.7866854,0,364.4905571,593,142,142.5,45,45.5,146,142,143,45,46
horim020,20,18,327.2316767,38.30644395,0,365.5381207,653,141.5,142,44.5,45,176,141,142,44,45
horim021,21,19,0.905877585,364.6322431,0,365.5381207,653,141.5,142,44.5,45,176,141,142,44,45
horim022,22,20,0,365.5381207,0,365.5381207,654,142,142.5,44.5,45,177,142,143,44,45
horim019,19,21,352.3464555,12.11446275,0.029638866,364.4905571,594,142.5,143,45,45.5,146,142,143,45,46
horim023,23,22,0,365.5381207,0,365.5381207,654,142,142.5,44.5,45,177,142,143,44,45
horim024,24,23,212.995881,152.4851328,0.057106795,365.5381207,655,142.5,143,44.5,45,177,142,143,44,45
