CAT,sampname,JCODE,KEN,SICHO,GUN,SEIREI,SIKUCHOSON,CITY_ENG,P_NUM,H_NUM,Pref,sect_area,sect_perim,cell_mainarea,cell_smallisl,cell_totalland
1,horim001,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,11.62,0.177252,8.801024101,0.011304914,8.812329015
2,horim002,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,11.49,0.331757,0,7.522308909,7.522308909
3,horim003,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,62.51,0.361398,0,56.24111604,56.24111604
4,horim004,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,84.64,0.505615,69.17284666,0,69.17284666
5,horim005,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,302.25,0.788602,258.0730334,0.002265251,258.075298651
6,horim006,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,95.75,0.534712,84.17391559,0.004534491,84.178450081
7,horim007,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,103.97,0.630496,0,87.45436275,87.45436275
8,horim008,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,39.87,0.271343,0,35.41957957,35.41957957
9,horim009,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,258.91,0.641988,219.3104498,0.006807549,219.317257349
10,horim010,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,416.67,0.833333,363.4398271,0,363.4398271
11,horim011,1101,北海道,石狩振興局,,札幌市,中央区,"Sapporo-shi, Chuo-ku",220404,120704,Hokkaido,388.62,0.789999,340.1582015,0,340.1582015
