tag,del,spnumber,taxstat,family,species,genus,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,hybrid,spquick,star,star_geo,star_geod,star_geou,star_infa,star_infs,tdwgtotals,origin,kew_fam,apg_fam,apg_order,moss
"*"," ",2,"acc","Lycopodiaceae","Lycopodium serratum Thunb. f. intermedium","Lycopodium","serratum","Thunb.","f.","intermedium","","","",""," ","LYCSER","f.!","f.","f.","f.","f.","f.",0,"Flora of Japan Vol. I","Lycopodiaceae","","",""
"*"," ",3,"acc","Lycopodiaceae","Lycopodium serratum Thunb. var. longipetiolatum","Lycopodium","serratum","Thunb.","var.","longipetiolatum","","","",""," ","LYCSER1","?!","?","?","?","?","?",0,"Flora of Japan Vol. I","Lycopodiaceae","","",""
"*"," ",4,"acc","Lycopodiaceae","Lycopodium selago L. var. appressum","Lycopodium","selago","L.","var.","appressum","","","",""," ","LYCSEL","GN!","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Lycopodiaceae","","",""
"*"," ",5,"acc","Lycopodiaceae","Lycopodium selago L. var. patens P. Beauv.","Lycopodium","selago","L.","var.","patens","P. Beauv.","","",""," ","LYCSEL1","GD!","GD","GD","GD","BU","BU",0,"Flora of Japan Vol. I","Lycopodiaceae","","",""
"*"," ",6,"acc","Ophioglossaceae","Ophioglossum thermale Kom. var. nipponicum Miyabe et Kud{o^}","Ophioglossum","thermale","Kom.","var.","nipponicum","Miyabe et Kud{o^}","","",""," ","OPHTHE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Ophioglossaceae","","",""
"*"," ",7,"acc","Ophioglossaceae","Botrychium japonicum (Prantl) Underw. var. silvicola Sahashi","Botrychium","japonicum","(Prantl) Underw.","var.","silvicola","Sahashi","","",""," ","BOTJAP","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Ophioglossaceae","","",""
"*"," ",8,"acc","Ophioglossaceae","Botrychium nipponicum Makino var. minus Hara","Botrychium","nipponicum","Makino","var.","minus","Hara","","",""," ","BOTNIP","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Ophioglossaceae","","",""
"*"," ",9,"acc","Ophioglossaceae","Botrychium ternatum (Thunb.) Sw. var. pseudoternatum Sahashi","Botrychium","ternatum","(Thunb.) Sw.","var.","pseudoternatum","Sahashi","","",""," ","BOTTER","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Ophioglossaceae","","",""
"*"," ",10,"acc","Ophioglossaceae","Botrychium multifidum (S. G. Gmel.) Rupr. var. robustum Rupr. ex Milde","Botrychium","multifidum","(S. G. Gmel.) Rupr.","var.","robustum","Rupr. ex Milde","","",""," ","BOTMUL","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Ophioglossaceae","","",""
"*"," ",11,"acc","Plagiogyriaceae","Plagiogyria adnata (Blume) Bedd. var. yakushimensis K. Sat{o^}","Plagiogyria","adnata","(Blume) Bedd.","var.","yakushimensis","K. Sat{o^}","","",""," ","PLAADN","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Plagiogyriaceae","","",""
