tag,del,spnumber,taxstat,synof,family,species,genus,sp1,homonym,author1,rank1,sp2,author2,rank2,sp3,author3,star,tdwgtotals,origin,star_geo,star_geod,star_geou,star_infa,star_infs,horim_page,horim_uniq,kewstar,xtdwgtotal,tdwgareas
*, ,75,acc,0,Pinaceae,Abies sachalinensis (F. Schmidt) Mast. var. mayriana,Abies,sachalinensis,0,(F. Schmidt) Mast.,var.,mayriana,,,,,GD,2,Flora of Japan Vol. I,GD,GD,GD,BU,BU,0,,BU,2,47.427957
*, ,78,acc,0,Pinaceae,Picea alcoquiana (Veitch ex Lindl.) Carri{e`}re var. reflexa Shiras. et Koyama,Picea,alcoquiana,0,(Veitch ex Lindl.) Carri{e`}re,var.,reflexa,Shiras. et Koyama,,,,BK,1,Flora of Japan Vol. I,BK,BK,BK,GD,BK,11,*,BK,1,37.894518
*, ,80,acc,0,Pinaceae,Pinus parviflora Sieb. et Zucc. var. pentaphylla Mayr,Pinus,parviflora,0,Sieb. et Zucc.,var.,pentaphylla,Mayr,,,,GD,1,Flora of Japan Vol. I,GD,GD,GD,BU,BU,0,,BU,1,37.894518
*, ,81,acc,0,Cupressaceae,Thujopsis dolabrata (L. f.) Sieb. et Zucc. var. hondae Makino,Thujopsis,dolabrata,0,(L. f.) Sieb. et Zucc.,var.,hondae,Makino,,,,GD,1,Flora of Japan Vol. I,GD,GD,GD,BU,GD,0,,GD,1,37.894518
*, ,88,acc,0,Taxaceae,Taxus cuspidata Sieb. et Zucc. var. nana,Taxus,cuspidata,0,Sieb. et Zucc.,var.,nana,,,,,BU,1,Flora of Japan Vol. I,BU,BU,BU,GN,BU,0,,BU,1,37.894518
*, ,371,acc,0,Oleaceae,Ligustrum ovalifolium Hassk. var. pacificum Nakai,Ligustrum,ovalifolium,0,Hassk.,var.,pacificum,Nakai,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,BK,1,37.894518
*, ,372,acc,0,Oleaceae,Ligustrum ovalifolium Hassk. var. hisauchii Makino,Ligustrum,ovalifolium,0,Hassk.,var.,hisauchii,Makino,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,,1,37.894518
*, ,418,acc,0,Rubiaceae,Morinda umbellata L. subsp. boninensis Ohwi,Morinda,umbellata,0,L.,subsp.,boninensis,Ohwi,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,BK,1,0.00696
*, ,427,acc,0,Rubiaceae,Damnacanthus indicus Gaertn. f. var. microphyllus,Damnacanthus,indicus,0,Gaertn. f.,var.,microphyllus,,,,,BU,1,Flora of Japan IIIa,BU,BU,BU,GN,BU,0,,BU,1,37.894518
*, ,433,acc,0,Rubiaceae,Galium kamtschaticum Steller ex Roem. et Schult. var. yakusimense Masamune,Galium,kamtschaticum,0,Steller ex Roem. et Schult.,var.,yakusimense,Masamune,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,BK,1,37.894518
*, ,441,acc,0,Rubiaceae,Galium verum L. subsp. asiaticum Nakai,Galium,verum,0,L.,subsp.,asiaticum,Nakai,,,,GN,8,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,8,670.921368
*, ,455,acc,0,Verbenaceae,Clerodendrum trichotomum Thunb. var. fargesii Dode,Clerodendrum,trichotomum,0,Thunb.,var.,fargesii,Dode,,,,GN,4,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,4,292.969125
*, ,456,acc,0,Verbenaceae,Callicarpa oshimensis Hayata var. okinawensis Nakai,Callicarpa,oshimensis,0,Hayata,var.,okinawensis,Nakai,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,BK,0,,BK,1,0.189716
*, ,457,acc,0,Verbenaceae,Callicarpa oshimensis Hayata var. iriomotensis Masamune,Callicarpa,oshimensis,0,Hayata,var.,iriomotensis,Masamune,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,BK,335,*,BK,1,0.189716
*, ,458,acc,0,Verbenaceae,Callicarpa japonica Thunb. var. luxurians,Callicarpa,japonica,0,Thunb.,var.,luxurians,,,,,BU,4,Flora of Japan IIIa,BU,BU,BU,GN,BU,333,*,GN,4,64.055494
*, ,459,acc,0,Labiatae,Ajuga ciliata Bunge var. villosior,Ajuga,ciliata,0,Bunge,var.,villosior,,,,,BU,1,Flora of Japan IIIa,BU,BU,BU,GN,BU,0,,BU,1,37.894518
*, ,460,acc,0,Labiatae,Teucrium viscidum Bl. var. miquelianum Maxim.,Teucrium,viscidum,0,Bl.,var.,miquelianum,Maxim.,,,,GN,2,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,2,60.6627
*, ,462,acc,0,Labiatae,Clinopodium chinense (Benth.) O. Kuntze var. shibetchense L{e'}v.,Clinopodium,chinense,0,(Benth.) O. Kuntze,var.,shibetchense,L{e'}v.,,,,GN,2,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,2,60.6627
*, ,463,acc,0,Labiatae,Clinopodium multicaule (Maxim.) O. Kuntze var. yakusimense Masamune,Clinopodium,multicaule,0,(Maxim.) O. Kuntze,var.,yakusimense,Masamune,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,BK,0,,GD,1,37.894518
*, ,464,acc,0,Labiatae,Clinopodium micranthum (Regel) Hara var. sachalinense F. Schmidt,Clinopodium,micranthum,0,(Regel) Hara,var.,sachalinense,F. Schmidt,,,,GN,3,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,3,48.688044
*, ,465,acc,0,Labiatae,Perilla frutescens (L.) Britton var. crispa Thunb.,Perilla,frutescens,0,(L.) Britton,var.,crispa,Thunb.,,,,GN,1,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,BU,19,37.894518
*, ,470,acc,0,Labiatae,Stachys riederi Cham. var. hispidula Regel,Stachys,riederi,0,Cham.,var.,hispidula,Regel,,,,GN,7,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,7,585.860385
*, ,471,acc,0,Labiatae,Stachys riederi Cham. var. japonica Miq.,Stachys,riederi,0,Cham.,var.,japonica,Miq.,,,,GN,7,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,7,580.184241
*, ,473,acc,0,Labiatae,Prunella vulgaris L. subsp. asiatica (Nakai) Hara,Prunella,vulgaris,0,L.,subsp.,asiatica,(Nakai) Hara,,,,GN,11,Flora of Japan IIIa,GN,GN,GN,GN,GN,753,*,GN,11,478.835413
*, ,478,acc,0,Labiatae,Salvia glabrescens Makino var. repens Koidz.,Salvia,glabrescens,0,Makino,var.,repens,Koidz.,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,GD,1,37.894518
*, ,479,acc,0,Labiatae,Salvia japonica Thunb. f. polakioides Honda,Salvia,japonica,0,Thunb.,f.,polakioides,Honda,,,,f.,1,Flora of Japan IIIa,f.,f.,f.,f.,f.,0,,f.,1,37.894518
*, ,489,acc,0,Labiatae,Isodon shikokianus (Makino) Hara var. intermedius Kudo,Isodon,shikokianus,0,(Makino) Hara,var.,intermedius,Kudo,,,,BU,1,Flora of Japan IIIa,BU,BU,BU,GN,BU,0,,BU,1,37.894518
*, ,490,acc,0,Labiatae,Isodon shikokianus (Makino) Hara var. occidentalis,Isodon,shikokianus,0,(Makino) Hara,var.,occidentalis,,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,GD,1,37.894518
*, ,492,acc,0,Labiatae,Scutellaria pekinensis Maxim. var. ussuriensis Regel,Scutellaria,pekinensis,0,Maxim.,var.,ussuriensis,Regel,,,,GN,8,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,8,548.757777
*, ,493,acc,0,Labiatae,Scutellaria pekinensis Maxim. var. transitra Makino,Scutellaria,pekinensis,0,Maxim.,var.,transitra,Makino,,,,GN,3,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,3,191.808946
*, ,495,acc,0,Labiatae,Scutellaria indica L. var. parvifolia Makino,Scutellaria,indica,0,L.,var.,parvifolia,Makino,,,,GN,4,Flora of Japan IIIa,GN,GN,GN,GN,GN,0,,GN,4,292.969125
*, ,496,acc,0,Labiatae,Scutellaria rubropunctata Hayata var. naseana,Scutellaria,rubropunctata,0,Hayata,var.,naseana,,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,BK,0,,BK,1,37.894518
*, ,497,acc,0,Labiatae,Scutellaria rubropunctata Hayata var. minima,Scutellaria,rubropunctata,0,Hayata,var.,minima,,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,BK,0,,BK,1,37.894518
*, ,498,acc,0,Labiatae,Scutellaria laeteviolacea Koidz. var. maekawae Hara,Scutellaria,laeteviolacea,0,Koidz.,var.,maekawae,Hara,,,,BK,1,Flora of Japan IIIa,BK,BK,BK,GD,GD,0,,GD,1,37.894518
*, ,568,acc,0,Campanulaceae,Campanula punctata Lam. var. hondoensis Kitamura,Campanula,punctata,0,Lam.,var.,hondoensis,Kitamura,,,,GD,1,Flora of Japan IIIa,GD,GD,GD,BU,BU,0,,BU,1,37.894518
*, ,618,acc,0,Euphorbiaceae,Glochidion zeylanicum (Gaertn.) A. Juss. var. tomentosum,Glochidion,zeylanicum,0,(Gaertn.) A. Juss.,var.,tomentosum,,,,,GN,15,Flora of Japan Vol. IIc,GN,GN,GN,GN,GN,0,,GN,15,667.829058
*, ,619,acc,0,Euphorbiaceae,Excoecaria formosana (Hayata) Hayata var. daitoinsularis Hatus.,Excoecaria,formosana,0,(Hayata) Hayata,var.,daitoinsularis,Hatus.,,,,BK,1,Flora of Japan Vol. IIc,BK,BK,BK,GD,BK,0,,BK,1,0.189716
*, ,621,acc,0,Euphorbiaceae,Euphorbia watanabei Makino subsp. minamitanii,Euphorbia,watanabei,0,Makino,subsp.,minamitanii,,,,,BK,1,Flora of Japan Vol. IIc,BK,BK,BK,GD,BK,0,,BK,1,37.894518
