tag,del,scode,sampname,date,site_name,habitat,microhab,majorhab,management,plotnum,recnum,voucher,abunc,abun,common,xspecies,dups,oldspnumbe,spnumber,family,genus,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,id,xspcode,xxtaxstat,sptempid,species,treetaxa,xxfamily,star,synstar,xstar,detstatus,synspnum
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,1,1,"d",3,"???","Quercus serrata Thunb. ex. Muuray","",9727,9727,"Fagaceae","Quercus","serrata","Thunb. ex. Muuray","","","","","","",1,110,"No st",9727,"Quercus serrata Murray","Quercus serrata","FAGACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,2,2,"",1,"???","Quercus acutissima Carrutherus","",9721,9721,"Fagaceae","Quercus","acutissima","Carrutherus","","","","","","",2,108,"No st",9721,"Quercus acutissima Carruth.","Quercus acutissima","FAGACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,3,3,"",1,"?????","Symplocos chinensis (Lour.) Druce var. leucocarpa (Nakai) Ohwi form. pilosa (Nakai) Ohwi","",29789,29789,"Symplocaceae","Symplocos","chinensis","(Lour.) Druce","var.","leucocarpa","(Nakai) Ohwi form. pilosa (Nakai) Ohwi","f.","pilosa","(Nakai) Ohwi",3,220,"No st",29789,"Symplocos chinensis (Lour.) Druce var. leucocarpa (Nakai) Ohwi f. pilosa  (Nakai) Ohwi","Symplocos chinensis var. leucocarpa f. pilosa","SYMPLOCACEAE","f.","f.","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,4,4,"",1,"???","Clerodendrum trichotomum Thunb.","",4891,4891,"Verbenaceae","Clerodendrum","trichotomum","Thunb.","","","","","","",4,291,"No st",4891,"Clerodendrum trichotomum Thunb.","Clerodendrum trichotomum","LABIATAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,5,5,"",1,"????","Euonymus alatus (Thunb.) Sieb.","",3186,3186,"Celastraceae","Euonymus","alatus","(Thunb.) Sieb.","","","","","","",5,318,"No st",3186,"Euonymus alatus (Thunb.) Sieb.","Euonymus alatus","CELASTRACEAE","GN","GN","GN","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,6,6,"",1,"????","Kalopanax pictus (Thunb.) Nakai","",9343,3230,"","","septemlobus","(Thunb.) Nakai","","","","","","",6,31,"No st",9343,"Kalopanax septemlobus (Thunb.) Koidz.","Kalopanax pictus","ARALIACEAE","GN","syn","syn","",9343,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,7,7,"",1,"????","Aralia elata (Miq.) Seemann","",5738,5738,"Araliaceae","Aralia","elata","(Miq.) Seemann","","","","","","",7,25,"No st",5738,"Aralia elata (Miq.) Seem.","Aralia elata","ARALIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,8,8,"",1,"???????","Callicarpa japonica Thunb.","",4907,4907,"Verbenaceae","Callicarpa","japonica","Thunb.","","","","","","",8,276,"No st",4907,"Callicarpa japonica Thunb.","Callicarpa japonica","LABIATAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,9,9,"",1,"?????","Zanthoxylum piperitum (L.) DC.","",5338,5338,"Rutaceae","Zanthoxylum","piperitum","(L.) DC.","","","","","","",9,199,"No st",5338,"Zanthoxylum piperitum (L.) DC.","Zanthoxylum piperitum","RUTACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,10,10,"",1,"????","Morus australis Poiret","",9799,9799,"Moraceae","Morus","australis","Poiret","","","","","","",10,131,"No st",9799,"Morus australis Poir. in Lam.","Morus australis","MORACEAE","GN","GN","GN","",0,
