tag,del,scode,sampname,date,voucher,localname,hatusimasp,abun,treecount,hatufam,id,oldspnumbe,spnumber,family,genus,sp1,author1,rank1,sp2,author2,detstatus,xxfamily,star,synstar,xstar,sptempid,species,common,treetaxa,oldspnov,synspnum
" "," ",4001,"MtNago1",14/06/2010,"H392","sp1","spp.1",1,0,"-",1,30141,30141,"","","spp.1","","","","","","","-","-","-",30141,"spp.1","","spp.1","spp.1",0,
" "," ",4001,"MtNago1",14/06/2010,"H393","ÉÇÉ`ÉmÉLsp2","Ilex spp.2",1,0,"Aquifoliaceae",2,30142,30142,"Aquifoliaceae","Ilex","spp.2","","","","","","AQUIFOLIACEAE","-","-","-",30142,"Ilex spp.2","","Ilex spp.2","Ilex spp.2",0,
" "," ",4001,"MtNago1",14/06/2010,"H394","ÉÑÉìÉoÉãÉ~É~ÉYÉoÉC","Symplocos stellaris Brand",1,0,"Symplocaceae",3,4610,4610,"Symplocaceae","Symplocos","stellaris","Brand","","","","","SYMPLOCACEAE","GN","GN","GN",4610,"Symplocos stellaris Brand","","Symplocos stellaris","Symplocos stellaris Brand",0,
" "," ",4001,"MtNago1",14/06/2010,"H395","ÉIÉIÉAÉäÉhÉIÉV","Damnacanthus indicus Gaertn.f.  var. major (Siebold et Zucc.) Makino",1,0,"Cruciferae",4,29926,29926,"Rubiaceae","Damnacanthus","indicus","Gaertn.f.","var.","major","(Siebold et Zucc.) Makino","","RUBIACEAE","GN","GN","GN",29926,"Damnacanthus indicus Gaertn.f. var. major (Siebold et Zucc.) Makino","","Damnacanthus indicus var. major","Damnacanthus indicus Gaertn.f.  var. major (Siebold et Zucc.) Makino",0,
"S"," ",4001,"MtNago1",14/06/2010,"H396","ÉÄÉbÉ`ÉÉÉKÉâ","Ilex maximowicziana Loesen. var. mutchagara (Makino) Hatusima",1,0,"Aquifoliaceae",5,2207,5410,"Aquifoliaceae","Ilex","maximowicziana","Loesen.","","","(Makino) Hatusima","","AQUIFOLIACEAE","GD","syn","syn",2207,"Ilex maximowicziana Loes.","","Ilex maximowicziana var. mutchagara","Ilex maximowicziana Loesen. var. mutchagara (Makino) Hatusima",2207,
" "," ",4001,"MtNago1",14/06/2010,"H397","É}ÉãÉoÉãÉäÉ~ÉmÉL","Lasianthus wallichii (Wight & Arn.) Wight",1,0,"Rubiaceae",6,4816,4816,"Rubiaceae","Lasianthus","wallichii","(Wight & Arn.) Wight","","","","","RUBIACEAE","GN","GN","GN",4816,"Lasianthus wallichii Wight","","Lasianthus wallichii","Lasianthus wallichii (Wight & Arn.) Wight",0,
" "," ",4001,"MtNago1",14/06/2010,"H398","ÉÑÉ}ÉqÉnÉc","Antidesma  japonicum S. & Z.",1,0,"Euphorbiaceae",7,5266,5266,"Euphorbiaceae","Antidesma","japonicum","S. & Z.","","","","","EUPHORBIACEAE","GN","GN","GN",5266,"Antidesma japonicum Sieb. et Zucc.","","Antidesma japonicum","Antidesma  japonicum S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H399","ÉVÉâÉ^É}ÉJÉYÉâ","Psychotria serpens L.",1,0,"Rubiaceae",8,4827,4827,"Rubiaceae","Psychotria","serpens","L.","","","","","RUBIACEAE","GN","GN","GN",4827,"Psychotria serpens L.","","Psychotria serpens","Psychotria serpens L.",0,
" "," ",4001,"MtNago1",14/06/2010,"H400","ÉRÉoÉìÉÇÉ`","Elaeocarpus japonicus S. & Z.",1,0,"Elaeocarpaceae",9,5494,5494,"Elaeocarpaceae","Elaeocarpus","japonicus","S. & Z.","","","","","ELAEOCARPACEAE","GN","GN","GN",5494,"Elaeocarpus japonicus Sieb. et Zucc.","","Elaeocarpus japonicus","Elaeocarpus japonicus S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H401","ÉÑÉìÉoÉãÉ~É~ÉYÉoÉC","Symplocos stellaris Brand",1,0,"Symplocaceae",10,4610,4610,"Symplocaceae","Symplocos","stellaris","Brand","","","","","SYMPLOCACEAE","GN","GN","GN",4610,"Symplocos stellaris Brand","","Symplocos stellaris","Symplocos stellaris Brand",0,
